typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1959234625162",,"1959234625162","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","4","AFG","Afghanistan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","17371806",,"17371806","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","8","ALB","Albania","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","189322397",,"189322397","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","12","DZA","Algeria","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1314681787",,"1314681787","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","20","AND","Andorra","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","30877",,"30877","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","24","AGO","Angola","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","31106015046",,"31106015046","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","28","ATG","Antigua and Barbuda","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","38431",,"38431","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","31","AZE","Azerbaijan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","297062697",,"297062697","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","32","ARG","Argentina","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5246944098",,"5246944098","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","97630887218",,"97630887218","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","40","AUT","Austria","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5851704190",,"5851704190","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","44","BHS","Bahamas","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","188072",,"188072","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","48","BHR","Bahrain","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","183964392",,"183964392","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","50","BGD","Bangladesh","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","761107883",,"761107883","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","51","ARM","Armenia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","167172701",,"167172701","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","52","BRB","Barbados","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","14802018",,"14802018","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","56","BEL","Belgium","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","10059221659",,"10059221659","0","true","false",
"C","A","20140101","2014","52","2014","156","CHN","China","M","Import","60","BMU","Bermuda","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","10524",,"10524","0","true","false",
