typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","812184751778",,"812184751778","0","true","false",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","4","AFG","Afghanistan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","445841",,"445841","0","true","false",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","8","ALB","Albania","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5114236",,"5114236","0","true","false",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","12","DZA","Algeria","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1601268801",,"1601268801","0","true","false",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","16","ASM","American Samoa","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","4869",,"4869","0","true","false",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","20","AND","Andorra","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","8613",,"8613","0","true","false",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","24","AGO","Angola","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","554270303",,"554270303","0","true","false",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","28","ATG","Antigua and Barbuda","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","48953",,"48953","0","true","false",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","31","AZE","Azerbaijan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1249734",,"1249734","0","true","false",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","32","ARG","Argentina","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","912425129",,"912425129","0","true","false",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","48117721953",,"48117721953","0","true","false",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","40","AUT","Austria","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1795088233",,"1795088233","0","true","false",
"C","A","20140101","2014","52","2014","392","JPN","Japan","M","Import","44","BHS","Bahamas","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","646351",,"646351","0","true","false",
