typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","410","KOR","Rep. of Korea","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false","525556977998",,"525556977998","0","false","true",
"C","A","20140101","2014","52","2014","410","KOR","Rep. of Korea","M","Import","4","AFG","Afghanistan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","28259",,"28259","4","false","true",
"C","A","20140101","2014","52","2014","410","KOR","Rep. of Korea","M","Import","8","ALB","Albania","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","2486290",,"2486290","4","false","true",
"C","A","20140101","2014","52","2014","410","KOR","Rep. of Korea","M","Import","10","ATA","Antarctica","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","7616936",,"7616936","4","false","true",
"C","A","20140101","2014","52","2014","410","KOR","Rep. of Korea","M","Import","12","DZA","Algeria","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1948089049",,"1948089049","4","false","true",
"C","A","20140101","2014","52","2014","410","KOR","Rep. of Korea","M","Import","16","ASM","American Samoa","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1658497",,"1658497","4","false","true",
"C","A","20140101","2014","52","2014","410","KOR","Rep. of Korea","M","Import","20","AND","Andorra","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","87831",,"87831","4","false","true",
"C","A","20140101","2014","52","2014","410","KOR","Rep. of Korea","M","Import","24","AGO","Angola","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","149854474",,"149854474","4","false","true",
"C","A","20140101","2014","52","2014","410","KOR","Rep. of Korea","M","Import","28","ATG","Antigua and Barbuda","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","310525",,"310525","4","false","true",
"C","A","20140101","2014","52","2014","410","KOR","Rep. of Korea","M","Import","31","AZE","Azerbaijan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","53575",,"53575","4","false","true",
