typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","0","W00","World","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","694344323261",,"694344323261","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","4","AFG","Afghanistan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3750469",,"3750469","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","8","ALB","Albania","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","13546874",,"13546874","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","10","ATA","Antarctica","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3600",,"3600","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","12","DZA","Algeria","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5460104494",,"5460104494","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","16","ASM","American Samoa","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","23083",,"23083","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","20","AND","Andorra","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","464916",,"464916","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","24","AGO","Angola","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","650319421",,"650319421","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","28","ATG","Antigua and Barbuda","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","850126",,"850126","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","31","AZE","Azerbaijan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","123066168",,"123066168","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","32","ARG","Argentina","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","889167243",,"889167243","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3231334304",,"3231334304","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","40","AUT","Austria","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","5201111799",,"5201111799","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","44","BHS","Bahamas","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","8296971",,"8296971","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","48","BHR","Bahrain","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","207074786",,"207074786","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","50","BGD","Bangladesh","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","3140326215",,"3140326215","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","51","ARM","Armenia","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","707535",,"707535","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","52","BRB","Barbados","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","8067602",,"8067602","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","56","BEL","Belgium","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","34027390157",,"34027390157","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","60","BMU","Bermuda","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","1224999",,"1224999","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","64","BTN","Bhutan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","110299",,"110299","0","true","false",
"C","A","20140101","2014","52","2014","826","GBR","United Kingdom","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","80687403",,"80687403","0","true","false",
